Unnamed: 0,borough,parenthesis,post_id,post_date,post_time,update_date,update_time,title,price,images,square_footage,housing_type,description,bedroom,bathroom,cat,dog,laundry,parking,post_id_old,smoking,furnished,URL,Reason,SPAM
<built-in function id>,central LA,Los Angeles,6751369754.0,2018-11-17,9:47am,2018-12-01,4:09pm,Awesome Hollywood Area Location!,$575000,1.0,918,townhouse,"RE/MAX Masters Joy Cross CalDRE #00915798 show contact info Br/Ba: 2/3 Sale Type: Standard Garage: 2 Year Built: 1985 Sqft/Lsqft: 918/11,659 Property Type:	TWNHS AWESOME HOLLYWOOD A REA LOCA TION Walking distance to restaurants, entertainment and shopping! Small security gated complex with only 12 units. Two story townhome with direct access to a lower level private two car garage with laundry hookups. Living room with cozy fireplace, dining room with arched doorway, kitchen with tile counters, half bath downstairs and two master suites upstairs each with a bathroom! Dont miss this great opportunity! RE/MAX Masters Joy Cross CalDRE #00915798 show contact info ***Information deemed reliable, but not guaranteed. This data was collected from CRMLS. Please call agent for more information.",,,,,,,,,,,,False
<built-in function id>,westside-southbay,Westwood,6762542220.0,2018-12-01,3:32pm,,,2 Bedroom 2.5 Bath in Westwood With Fireplace -Balcony -W/D in Unit,$3275,4.0,1200,apartment,"Located conveniently in Westwood, our community offers residential relaxation with a bustling restaurant and shopping district minutes away. Sophisticated features such as gourmet kitchens, hearty fireplaces and front-loading washer/dryers elevate these sprawling floor plans. Our interiors offer enough space for entertaining, dining, working and relaxing. With a comprehensive fitness center on site, our community supports our residents' active lifestyle. Experience elevated living at 1828 Parnell in Westwood! Location:1828 Parnell Avenue Los Angeles, CA KEY FEATURES: Bed: 2 Bath: 2.5 Amenities: - Washer/Dryer in Unit - Refrigerator - Great Views - Central A/C - Skylights (In Select Units) - Garage Parking - Controlled Access - Disposal - Stainless Steel Appliances - Fitness Center - High Ceilings - Microwave - Patio/Balcony - Fireplace - Walk-in Closets - Dishwasher - Bike Racks - Hardwood Throughout - Gas Stove Square Ft. is approximate. Price & availability are conditional.",2.0,2.5,cats are OK - purrr,dogs are OK - wooof,w/d in unit,detached garage,,,,,,False
<built-in function id>,SF valley,"16700 Devonshire St, Granada Hills",6751501974.0,2018-11-17,11:56am,2018-12-01,4:09pm,"💫 2 Bed, 2 Bath + Pool + New Plank Floors + Quartz + 1st Floor💫",$2095,8.0,1000,apartment,"This Granada Hills property is only minutes from the 118 and 405 Freeways and is nearby to CSUN. Devonshire Apartments offers many different floor plans to suit any need. You can choose an apartment with a spacious patio/balcony, and hardwood style floors. You can jump into our welcoming pool, or catch up on your laundry at one of our laundry facilities. You also won't have to worry about parking with your own covered parking space. In your free time, we invite you to explore the nearby Northridge Mall, Petit Park and the Granada Hills Library. Explore your many choices in nearby dining in your own neighborhood. Explore Devonshire living today. 16700-16 Devonshire Street, Granada Hills, CA 91344 UNIQUE FEATURES 💫 A/C 💫 Carpeting* 💫 Disposal 💫 Hardwood Floors* 💫 Microwave* 💫 Patio/Balcony* 💫 Refrigerator COMMUNITY FEATURES 💫 Close to 118 and 405 Freeway 💫 Controlled Access/Gated 💫 Courtyard 💫 Covered Parking 💫 Laundry Facilities 💫 On-Call Maintenance 💫 On-Site Management 💫 Swimming Pool LOCATION BENEFITS: Moments to the 118 and 405 Freeways, CSUN, restaurants, shopping malls, banks and schools. Close to North Hills, Northridge, Mission Hills, San Fernando and Porter Ranch. DISCLAIMER: Any Interior Pictures May Not Be Of Exact Apartment Home. Square Footage Is Approximate. *With Select Apartment Homes.",2.0,2.0,,,laundry on site,,,,,,,False
<built-in function id>,SF valley,,6762566146.0,2018-12-01,4:10pm,,,Spacious four-bedroom and four-bathroom single family home,$5800,22.0,4000,house,"11864 Turtle Springs Ln This spacious 4,000 square feet, four-bedroom and four-bathroom single family home is located in the Porter Ranch neighborhood in Los Angeles, California. The property is a mere seven-minute drive to an array of shops and restaurants along Rinaldi Street and boasts a three-car garage, high vaulted ceilings, and a hot tub/spa. It is also close to two public pools and a Jacuzzi. The lot itself features a spacious front yard and patio--perfect for outdoor dining and entertaining guests. The interior features rich hardwood flooring with only the kitchen and bathrooms having more durable tiled flooring. Speaking of the kitchen, if you love to cook then you will definitely have a great time in this lovely kitchen surrounded by classic yet stylish wooden cabinets and drawers, smooth granite countertops and backsplash, and ready-to-use stainless steel appliances. The bedrooms and common areas are nice and spacious with plenty of room for storage or extra furniture. Thanks to carefully-placed lighting fixtures, beautiful chandeliers, and tall windows that allow ample natural light to enter, the whole place feels bright and sun-filled during the day and well-lit even at night. Pets are allowed in the property with a $600 deposit.",4.0,4.0,cats are OK - purrr,dogs are OK - wooof,w/d hookups,attached garage,,,,,,False
<built-in function id>,SF valley,RESEDA,6762566069.0,2018-12-01,4:10pm,,,"1 Bed With LOFT, Quartz Counter Tops, Gas Range, Sparkling Pool",$1999,10.0,1119,,"Come home to the most desirable apartments in the area - Newly Renovated The Monarch Apartments are newly renovated apartment homes that include newly renovated interiors, hardwood and carpet flooring, double stainless steel sinks, stainless steel gas range, microwave, and dishwasher, as well as extra storage and walk-in closets, and loft-style apartment homes with vaulted ceilings. Enjoy subterranean and assigned parking, controlled access entry, refreshing pool, relaxing spa, delightful barbecues, and off-leash dog park in your backyard! Close proximity to CSUN, Pierce College and CSULA as well as the multiple options for dining, shopping and nightlife! Let your life blossom at Monarch Apartments! Call Now: show contact info Want more info? See the link below:http://live.fpimgt.com/70vL70 This is a 1 Bedroom, 1 Bath, approximately 1119 Sq. Ft. Features - Double Stainless Steel Sinks - Fireplaces* - Walk In Closets* - Designer Accent Paint - Vaulted Ceilings* - Plenty Of Storage/Closet/Cabinet Space - Gas Range - Microwave - Carpeting - Loft Style Units* - Quartz Counter Tops - Central Air/Heat - Balconies or Patios* - Hardwood Flooring - Dishwasher - Refrigerator* Community Amenities - 24 Hour On-Call Maintenance Emergency - 3 Laundry Facilities Open 24 Hours - Subterranean and Assigned Parking - Barbecues - Pet Friendly - Relaxing Spa - Elevator - Beautiful Dog Park - Controlled Access Entry - Refreshing Swimming Pool Pet Policy Pet Friendly - Weight/Breed Restrictions And Deposit And Fees Apply Income Requirements: 2.5 Times The Rent AmountOffice Hours Tuesday-Saturday:9:00AM-4:00PMMonarch 7918 Reseda Blvd., Reseda, CA, 91335Equal Housing Opportunity h0k67IrCmZ",1.0,1.0,,,,,,,,,,False
<built-in function id>,san gabriel valley,Riverside,6751365981.0,2018-11-17,9:43am,2018-12-01,4:09pm,WOW! Turnkey 4 Bedroom House with Beautiful Sunsets to See!,$430000,,1936,house,"RE/MAX Masters Helen Canedo show contact info LA State Lic# 00845033 BED / BATH: 4/2,0,1 SQFT(src): 1,936 PRICE PER SQFT: $222.11 LOT(src): 0.14/6,098 LEVELS: Two GARAGE: 2/A ttached YEAR BUILT(src): 1991 PROP SUB TYPE: SFR If you love SUNSETS, this is the one to see. This turnkey 4 bedroom has been converted to a 3 bedroom to give the Master Suite a working office area. The mirrored closet is still there, so all it needs is to put back the wall and you have 4 bedrooms. Master Suite features include a walk-in closet and dimmer switches in bathroom. Featuring a gorgeous, spacious kitchen with Cherry wood colored kitchen cabinets with a China cabinet, pots and pan drawer, loads of cabinets and counter space, granite counters, under the counter lighting, and canned lighting. A ppliances are brand name stainless steel and about 7 years new. Formal dining area off the living room with an additional dining area in the family room. which could easily be a game table space. A ll bedrooms have nice mirrored closet doors. Master Suite and Back yard overlook the golf course and provide some fantastic sunsets. Fireplace in family room, ceiling fans in MBR and DR, Vinyl fencing, faux wood blinds throughout, with tile floors throughout the downstairs. The entertaining back yard features a large open patio with A luma-wood Patio cover. There is also a ""Teacher's dream"" closet under the staircase, or it can house your shoes. To show it is to sell it. Thanks for showing and God bless you. RE/MAX Masters Helen Canedo show contact info LA State Lic# 00845033 **Information deemed reliable, but not guaranteed. This data was collected from CRMLS. Please call agent for more information.",4.0,3.0,,,,,,,,,,False
<built-in function id>,san gabriel valley,Montclair,6751364043.0,2018-11-17,9:42am,2018-12-01,4:09pm,Open House! 2 Bedroom Condo for Sale!,$281500,1.0,1065,condo,"RE/MAX Masters Helen Canedo show contact info CalDRE # 00845033 **OPEN HOUSE** Sat. Oct 20th from 12 pm to 3 pm. 9362 Shadowood Dr. #F Montclair BED / BATH: 2/1,0,1 SQFT(src): 1,065 PRICE PER SQFT: $264.32 LOT(src): 0.0244/1,065 LEVELS: Two GARAGE: 2/Attached YEAR BUILT(src): 1980 PROP SUB TYPE: CONDO Check out video at abc7.com. Search: Montclair plaza food court now becoming concert venue in 2019. This 2 bedroom 1 1/2 bath condo is move-in ready. Located in the Cimarron Oaks II, across from the Montclair Place anchored by Macy's, Nordstrom, JC Penney's, Olive Garden, Red Lobster, Black A ngus & other well known restaurants. Serrano Middle School and Moreno Elementary School are within walking distance. A ssociation dues cover a Pool, Spa, Tennis courts, Club house w/BBQ, Picnic areas, Playground, Water, Trash, Ground Maintenance. The unit is all on the 2nd level w/entry on the main floor of the attached 2 car garage and laundry area. Upon upstairs entry you will find a large living room with a gas fireplace and vaulted ceilings providing you an open air spacious feeling. The Dining area off the kitchen opens onto the balcony where you can relax after work or enjoy breakfast. Both master bedroom and 2nd bedroom are a good size w/mirrored closet doors in the Master bedroom. The 1 and a half Jack n Jill bathroom closes off the master bedroom for privacy. New carpet was recently installed, a beautiful Chandelier in the dining room and handsome wood laminate flooring. Granite counters in the kitchen with dishwasher, microwave and gas stove, and an Electrolux counter depth refrigerator with a freezer bottom pullout drawer stays. One of Montclair's top condo communities to buy and live in. Don't miss out! RE/MAX Masters Helen Canedo show contact info CalDRE # 00845033 **Information deemed reliable, but not guaranteed. This data was collected from CRMLS. Please call agent for more information",2.0,1.5,,,,,,,,,,False
<built-in function id>,westside-southbay,Santa Monica,6762555460.0,2018-12-01,3:53pm,,,"2 Bedroom In Santa Monica | Rooftop Sundeck, 2K Gift Card at M/I",$4495,9.0,900,apartment,"Square Footage Is Approximate. Price and availability may change. Sixth and Raymond 2727 6th Street Santa Monica, CA 90405 Call: show contact info Nestled on the hilltop overlooking Santa Monica, the apartments at 6th and Raymond have amazing views of the coastline. We are blocks from the beach and trendy Main Street and a short stroll to 3rd Street Promenade and the Santa Monica Pier. The best restaurants and shopping in LA. One and two bedroom apartments are artfully appointed with wood grain laminate flooring, granite countertops, stainless steel appliances, washer/dryer in unit and rain showers. We offer residents beautiful solar-heated courtyard pool, which is the focal point of our property. Our amazing rooftop sundeck offers spectacular view of Malibu, Palos Verdes and Hollywood. The views are breathtaking. 6th and Raymond, the place you'll want to live! Apartment Features - Microwave - Ceiling Fan - Granite Countertops - Large Closets - Laminate Hardwood Style Flooring - Stainless Steel Appliances - Refrigerator - Patio/Balcony (In Select Units) - Stove - Washer/Dryer - Dishwasher - Smooth Ceiling Community Features - Parking Included - Rooftop Sundeck - Heated Pool - Controlled Access Pet Friendly Small Pets under 25lbs are Welcome with an Additional Deposit. Call for Details and Restrictions. Contact Information Viewing or Leasing Information Call: show contact info Visit: http://www.sixthraymond.com/ Location Benefits ( near 10 and 1 freeways ) Nearby Cities: Cheviot Hills, Sawtelle, Mar Vista, Venice, Pacific Palisades, Ocean Park, Palms, Oaks, Mid-City Thank You for Looking ... (¿)",2.0,1.0,cats are OK - purrr,dogs are OK - wooof,w/d in unit,,,,,,,False
<built-in function id>,san gabriel valley,Azusa,6751359985.0,2018-11-17,9:38am,2018-12-01,4:09pm,Amazing North Azusa Townhouse,$2600,1.0,1476,townhouse,"RE/MAX Masters Realty Gina Dohlen Cal BRE# 01266931 show contact info Br/Ba: 3/3 Sale Type: Lease Garage: 2 Year Built: 1988 Pool: Yes View: Yes Sqft/Lsqft: 1,476/2,086 Property Type: TWNHS Amazing North Azusa townhouse nestled in the San Gabriel Mountains! This townhouse has 3 bedrooms and 3 baths, there is a bedroom and bath downstairs, master bedroom and bath with garden tub and walk in closet, upgrades include new dark bronze chandelier upon entrance, new stainless steel kitchen stove, microwave and dishwasher, new interior paint, new dark bronze hardware throughout, new granite counters tops and sinks in all bathrooms, new toilet in downstairs bathroom, tile flooring in kitchen areas and all bathrooms, high ceilings which lets the outside in, new white blinds throughout, views of the mountains from the master bedroom and backyard, new light fixture in formal dining room, fireplace in living room for those cold nights, nice size yard to enjoy all year round for entertaining, separate laundry room and 2 car attached garage. Enjoy the community pool/spa, biking and hiking trails, close to the Gold Line, Close to the Super Target Store, schools, freeways and more. This is a must see!! RE/MAX Masters Realty Gina Dohlen Cal BRE# 01266931 show contact info **Information deemed reliable, but not guaranteed. This data was collected from CRMLS. PLEASE CALL AGENT FOR MORE INFORMATION**",3.0,3.0,,,,,,,,,,False
<built-in function id>,westside-southbay,5211 Pacific Concourse Dr,6762565895.0,2018-12-01,4:10pm,,,Two Bedroom Apartment Home Avaialble Now!,$2819,6.0,1045,apartment,"Call Us Today show contact info Special Offer Up to $400 off select apartment homes Bring your roommate and make this spacious apartment home yours. Features include large living space cable connections kitchen appliances and more. Visit today. You're going to love it here at Pacific Place. We are centrally located near the beach, city and LAX. We are pet friendly and have a ton of amenities to offer. Come check us out! Pacific Place Apartments More Photos http://www.equityapartments.com/los-angeles/el-segundo/pacific-place-apartments?ilsid=93",2.0,2.0,cats are OK - purrr,dogs are OK - wooof,w/d in unit,off-street parking,,no smoking,,,,False
